id,name,date,diameter_m,speed_kph,miss_distance_km,hazardous
3601283,(2012 EP5),2026-09-19,272.922900914,46610.7653869711,49646713.428502634,0
3650848,(2013 TM127),2026-09-19,28.4472296503,92143.7784558547,70050328.6357077,0
3666471,(2014 FD7),2026-09-19,300.6353038309,29498.9625563303,25377525.732458275,0
3787068,(2017 US),2026-09-19,34.201092472,61103.3315465052,57185544.33046185,0
3825431,(2018 MC5),2026-09-19,51.0551996437,29978.0174343712,19518492.945486862,0
2260277,260277 (2004 TR12),2026-09-18,1318.3780956475,55618.2736003127,30398631.06462377,0
3365921,(2007 AM),2026-09-18,257.0632410238,46451.1666014622,69414331.67698093,0
3483887,(2009 YS),2026-09-18,51.7654482198,51424.7024414534,58933351.70160226,0
3736807,(2015 YA),2026-09-18,19.6806745089,35390.5181516587,42366962.78987443,0
3748477,(2016 FZ12),2026-09-18,25.9441817907,62773.9634024662,46169202.496856675,0
3758837,(2016 RS),2026-09-18,138.6883491905,26276.9089020486,37799731.351534985,0
3790129,(2017 XD),2026-09-18,2004.6565565902,133395.6651938388,48014448.61552757,0
3608622,(2012 RL15),2026-09-20,82.0427064882,64823.0157941846,37163915.13695474,0
3691354,(2014 SJ262),2026-09-20,47.2106498806,39487.6109035195,39953696.98460475,0
3797858,(2018 BH3),2026-09-20,49.435619262,56756.5083748458,64369647.79069091,0
3888752,(2019 UK12),2026-09-20,41.1187571041,58745.6281036688,64886245.33376694,0
